FirstName                   | LastName               | PathPhoto               | Biography
----------------------------|-----------------------|----------------------|---------------------------------------------------------------------------Leo | Tolstoy | tolstoy.jpg | Leo Nikolayevich Tolstoy (1828–1910) was a great Russian writer and thinker, born in Yasnaya Polyana. He is known as the author of the epic novels War and Peace and Anna Karenina, which became the pinnacles of Russian literature. Leo Tolstoy was also a publicist and philosopher, and the founder of the religious and moral teaching known as Tolstoyanism. Early Life and Education: Born on August 28 (September 9), 1828, he was orphaned at an early age and raised by his aunt. He entered Kazan University but did not graduate. Military Service: In 1851, he left for the Caucasus, where he began writing Childhood and served in the army. He participated in the Crimean War, including the defense of Sevastopol. Literary Work: In 1852, he published the novella Childhood in the magazine Sovremennik, which brought him fame. He later wrote such works as War and Peace (1863–1869) and Anna Karenina (1873–1877), as well as Resurrection (1889–1899). Teaching career: In 1859, he founded a school for peasant children in Yasnaya Polyana, and in 1872 he published Azbuka.
Fyodor                      | Dostoevsky            | dostoevsky.jpg        | Fyodor Dostoevsky (1821–1881) was a prominent Russian novelist, short-story writer, and essayist, renowned for his profound psychological exploration into the human condition and his influence on 20th-century movements like existentialism and psychoanalysis. Key Biographical Details Birth and Early Life: Born in Moscow on November 11, 1821. His father was a doctor at a hospital for the poor, an environment that exposed Dostoevsky to the lower strata of society from an early age. He was educated at home and then in boarding schools before attending the Nikolayev Military Engineering Institute in St. Petersburg, a career path chosen by his father, despite Dostoevsky's passion for literature. Early Career and Arrest: After graduating in 1843, he resigned his military commission to become a full-time writer. His first novel, Poor Folk (1846), was a critical success, but his subsequent works were less well-received. In 1849, Dostoevsky was arrested for his involvement in the Petrashevsky Circle, a radical literary group that discussed banned books critical of Tsarist Russia. Literary Masterpieces: After his release in 1859, he returned to St. Petersburg and entered his most productive period. He published his major novels, often exploring complex philosophical and psychological themes of faith, free will, guilt, and morality. His most famous works, often called the "great five books," include: Crime and Punishment (1866) The Idiot (1869) Demons (also known as The Possessed, 1872) The Brothers Karamazov (1880), his final and arguably greatest novel Personal Struggles: Dostoevsky struggled with a gambling addiction throughout his life, which led to significant financial hardship and is reflected in his novella The Gambler (1866). He was married twice; his second wife, Anna Grigorievna Snitkina, a stenographer, helped manage his finances and provided stability in his later years. He also suffered from epilepsy, with seizures occurring throughout his life.
Mikhail                     | Bulgakov              | bulgakov.jpg          | Mikhail Bulgakov (1891–1940) was a renowned Soviet novelist and playwright, best known for his satirical works and the posthumously published masterpiece, The Master and Margarita. His writing career was marked by continuous clashes with strict Soviet censorship, leading to most of his major works being banned during his lifetime. Early Life and Medical Career Born in Kyiv on May 15, 1891, into a highly educated family, Bulgakov initially pursued a career in medicine, graduating from Kyiv University's Medical School in 1916. He served as a field doctor with the Red Cross during World War I and later with the White Army during the Russian Civil War. His experiences as a country doctor inspired his early short story collection, A Young Doctor's Notebook. During this period, he became addicted to morphine while treating himself for an allergic reaction to an anti-diphtheria drug, an experience reflected in his novella Morphine. Transition to Literature and Censorship In 1920, Bulgakov abandoned medicine to focus on writing and moved to Moscow in 1921. He became a feuilleton writer for various newspapers, satirizing the social changes and bureaucracy of the post-revolutionary era. His early prose works, such as Diaboliad (1924), The Fatal Eggs (1925), and Heart of a Dog (1925), a scathing satire on the "new Soviet man," quickly drew official criticism and were banned. His first novel, The White Guard (1925), a sympathetic portrayal of an anti-Bolshevik family in Kyiv, was adapted into the play The Days of the Turbins, which was unexpectedly a favorite of Joseph Stalin and enjoyed a long run at the Moscow Art Theatre. Despite this, most of Bulgakov's other plays, such as Flight and Cabal of Hypocrites (Molière), were banned in the late 1920s. By 1929, his works were completely barred from publication or production. Final Years and Posthumous Fame In 1930, in an act of desperation, Bulgakov wrote directly to the Soviet government requesting permission to emigrate. Stalin personally called him, denying his request but finding him work as a director's assistant at the Moscow Art Theatre.
Boris                       | Pasternak             | pasternak.jpg         | Boris Pasternak (1890–1960) was a renowned Russian poet, novelist, and translator, who became a central figure in 20th-century Russian literature. He is most famous for his epic novel, Doctor Zhivago, a masterpiece that brought him international fame and severe persecution from Soviet authorities. Early Life and Education Born in Moscow into a highly cultured artistic family, Pasternak was surrounded by intellectual giants from a young age; his father was Leonid Pasternak, a famous post-impressionist painter and art professor, and his mother was a concert pianist. The family friends included Leo Tolstoy, Sergei Rachmaninoff, and Rainer Maria Rilke. Initially a talented musician, Pasternak pursued music for six years but abruptly switched to philosophy, studying in Moscow and Marburg, Germany. He eventually abandoned philosophy for a career in literature. Literary Career Pasternak's early work was primarily poetry, heavily influenced by Symbolism and Futurism. His first poetry collection, My Sister, Life (written in 1917, published in 1922), became a landmark of Russian modernism and established him as a major poet. He was also a celebrated translator of poets like Shakespeare and Goethe, as translation became his primary source of income when his own work fell out of favor with Soviet censors. Doctor Zhivago and Persecution Pasternak spent ten years working on his novel Doctor Zhivago, an epic story following the life of Yury Zhivago, a physician and poet, through the turmoil of the Russian Revolution, Civil War, and the early years of the Soviet Union. The novel explores themes of love, art, survival, and the enduring human spirit in the face of brutal political ideology. The Soviet Union's state censorship viewed the novel as profoundly anti-Soviet for its subtle critiques of communism and its emphasis on individual consciousness over collective purpose. The book was banned from publication in the USSR. Literary Career Pasternak's early work was primarily poetry, heavily influenced by Symbolism and Futurism. His first poetry collection, My Sister, Life (written in 1917, published in 1922), became a landmark of Russian modernism and established him as a major poet. He was also a celebrated translator of poets like Shakespeare and Goethe, as translation became his primary source of income when his own work fell out of favor with Soviet censors. Doctor Zhivago and Persecution Pasternak spent ten years working on his novel Doctor Zhivago, an epic story following the life of Yury Zhivago, a physician and poet, through the turmoil of the Russian Revolution, Civil War, and the early years of the Soviet Union. The novel explores themes of love, art, survival, and the enduring human spirit in the face of brutal political ideology. The Soviet Union's state censorship viewed the novel as profoundly anti-Soviet for its subtle critiques of communism and its emphasis on individual consciousness over collective purpose. The book was banned from publication in the USSR.
Mikhail                     | Sholokhov             | sholokhov.jpg         | Mikhail Sholokhov (1905–1984) was a prominent Soviet novelist and journalist, awarded the 1965 Nobel Prize in Literature for his epic novels and stories about the Don Cossacks during a tumultuous period in Russian history. He is best known for his monumental work, And Quiet Flows the Don. Early Life and World War I and the Civil War Born on May 24, 1905, in the small village of Kruzhilino, Russia, in the Don region, Sholokhov came from a modest family; his father was a farmer and clerk, and his mother learned to read and write to correspond with her son. He had only a few years of formal schooling before World War I interrupted his education. At just 13 years old, he joined the Bolshevik side in the Russian Civil War, working for the revolutionary committee and a food inspection committee. His experiences in this chaotic and violent period provided the material for his early writings. Literary Career Sholokhov moved to Moscow in 1922 to pursue journalism and worked menial jobs like a stevedore and bricklayer to support himself while attending writing workshops. He published his first short story, "The Birthmark," in 1924, and returned to his native Don region the same year to focus on writing. His major works include:Tales from the Don (1926): A collection of short stories based on his experiences during the war. And Quiet Flows the Don (1928–1940): A four-volume epic novel depicting the lives of the Don Cossacks during World War I, the Russian Revolution, and the Civil War. It became the most widely read work of Soviet historical fiction and won the Stalin Prize in 1941. Virgin Soil Upturned (1932, second volume 1960): A two-volume novel detailing the collectivization of agriculture in the Don region, which earned him the Lenin Prize and was praised as a powerful example of socialist realism. "The Fate of a Man" (1957): A powerful post-war short story about a soldier's resilience and loss during World War II, which was made into a popular film. They Fought for Their Country: An unfinished novel about the Soviet war effort during World War II.
Alexander                   | Solzhenitsyn          | solzhenitsyn.jpg      | Aleksandr Solzhenitsyn (1918–2008) was a Soviet and Russian author and dissident recognized globally for his opposition to Soviet totalitarianism. He received the 1970 Nobel Prize in Literature, awarded for his profound ethical impact on Russian literary traditions. Early Life and World War II Born into an intellectual family in Kislovodsk, Russia, Solzhenitsyn pursued studies in mathematics and physics at Rostov State University and literature through correspondence. Initially a Marxist-Leninist, he served as a decorated artillery captain in the Red Army during World War II. In 1945, he was arrested for criticizing Joseph Stalin in private correspondence and sentenced to eight years in labor camps followed by perpetual exile. Imprisonment and Literary Awakening Solzhenitsyn's imprisonment in various camps, including a sharashka and a political prisoner camp in Kazakhstan, along with a struggle with cancer during exile, profoundly shaped his life and work. During this period, he moved away from Marxism and embraced Eastern Orthodox Christianity. Major Works and Confrontation Following his release and exoneration in 1956, Solzhenitsyn taught while secretly writing about his experiences. His first published work, the novella One Day in the Life of Ivan Denisovich (1962), a depiction of labor camp life, gained him international recognition with official approval. After a shift in the political climate, his later works, Cancer Ward (1968) and The First Circle (1968), were published in the West without authorization. His major work, The Gulag Archipelago, 1918-1956, completed in secret between 1958 and 1967, is a detailed exploration of the Soviet penal system based on personal experience and the accounts of other prisoners. Its publication in 1973 in Paris challenged the Soviet state and led to his arrest. Exile and Return Deported in 1974, Solzhenitsyn was stripped of his Soviet citizenship and moved to West Germany, then Switzerland, before settling in Vermont in the United States in 1976. In exile, he continued writing and critiquing both the Soviet system and Western society. After the Soviet Union's dissolution, his citizenship was reinstated in 1990, and he returned to Russia in 1994, where he remained active in public discourse until his death. Aleksandr Solzhenitsyn died of heart failure on August 3, 2008, at 89, and was buried with state honors in Moscow. His writings are now included in the required school curriculum in Russia.
Vladimir                    | Nabokov               | nabokov.jpg           | Vladimir Nabokov (1899–1977) was a Russian-American novelist, poet, and critic, recognized as one of the 20th century's leading prose stylists. He initially wrote in Russian and gained fame after moving to the United States and switching to English, a language he mastered with exceptional skill. Early Life and Education Born on April 22, 1899 (New Style), in Saint Petersburg, Russia, into a wealthy, cosmopolitan aristocratic family. The household was trilingual, and Nabokov could read and write in English before he could in Russian. His father was a liberal lawyer and politician, and the family fled Russia in 1919 after the October Revolution. Nabokov attended Trinity College, Cambridge, where he studied zoology and later Slavic and Romance languages, graduating in 1922. Life in Exile and Career After Cambridge, he joined his family in Berlin, where he became a recognized writer in the émigré community, publishing under the pen name V. Sirin. His father was tragically murdered in Berlin in 1922 while shielding a political target from an assassin. In 1925, Nabokov married Véra Slonim, his lifelong muse and assistant, with whom he had one son, Dmitri. Fleeing the rise of Nazism, especially because his wife was Jewish, the family moved to France in 1937 and then to the United States in May 1940. He worked as a lecturer at Wellesley College and as the de facto curator of lepidoptery at Harvard University's Museum of Comparative Zoology before becoming a professor of Russian literature at Cornell University from 1948 to 1959. Major Works and Later Life Nabokov achieved international fame and financial independence with the publication of his controversial novel Lolita in 1955. Its commercial success allowed him to retire from teaching in 1959 and move back to Europe. He settled with his wife in the Montreux Palace Hotel in Switzerland, where he spent the rest of his life writing and pursuing his lifelong passion for butterfly collecting (lepidoptery). His other notable works include: The Defense (1930) Invitation to a Beheading (1936) The Gift (1938) Speak, Memory (1951, revised 1966), his acclaimed memoir Pnin (1957) Nabokov died in Montreux on July 2, 1977, at the age of 78. He is remembered for his complex plots, technical brilliance, wordplay, and his defense of artistic individualism against "general ideas" and ideologies like psychoanalysis and totalitarianism.
Nikolai                     | Gogol                 |gogol.jpg              | Nikolai Gogol (1809–1852) was a Ukrainian-born Russian humorist, novelist, and dramatist. He is considered a foundational figure of Russian realism and renowned for his unique literary style that blended satire, the grotesque, and the absurd to critique the bureaucracy and social conditions of 19th-century Russia. Early Life and Education Born on March 31, 1809 (New Style), in the village of Sorochintsy, in present-day Ukraine (then part of the Russian Empire), into a minor landowning family. His father was a playwright and a great storyteller, which likely influenced the young Gogol's early interest in theater and writing. He attended the Gymnasium of Higher Sciences in Nezhyn, where he was known for his wit and theatrical performances, despite being an otherwise unremarkable student. In 1828, he moved to Saint Petersburg with ambitious dreams of a prominent career in the civil service or on the stage. After failing as an actor and with his self-published romantic poem receiving harsh criticism, he took a low-paid government job and began writing stories in his spare time, drawing heavily from his Ukrainian roots and folklore. These stories caught the attention of leading literary figures, including Alexander Pushkin, who became a friend and mentor. Major Works Gogol's literary success was immediate with the publication of his Ukrainian tales: Evenings on a Farm Near Dikanka (1831–1832): A collection of short stories blending Ukrainian folklore, supernatural elements, and humor, which brought him immediate fame. The Government Inspector (1836): A satirical play that lampooned the corruption and incompetence of provincial Russian bureaucracy. The play was a hit with the public and even Tsar Nicholas I, but also generated enough controversy to prompt Gogol to leave Russia. Dead Souls (1842): Widely regarded as his masterpiece. Subtitled a "poem," this novel follows the rogue Pavel Chichikov as he travels across Russia buying the "dead souls" (deceased serfs still listed on paper) of landowners to use as collateral for a loan, offering a broad satire of Russian society and the human condition. "The Overcoat" **and "The Nose" (published 1842 and 1836, respectively): These influential short stories explore themes of social alienation and the absurd, with "The Overcoat" famously inspiring Dostoevsky to state, "We all came out of Gogol's. Final Years and Death From 1836, Gogol spent most of the next 12 years traveling and living abroad, primarily in Rome, where he worked on the second volume of Dead Souls. In his later years, he became increasingly religious and ascetic, falling under the influence of a zealous Orthodox priest who convinced him that writing fiction was sinful. In a fit of depression and religious despair, Gogol burned most of the nearly complete manuscript of the second volume of Dead Souls in February 1852. Deeply remorseful and physically weakened by severe fasting, he took to his bed, refused food, and died nine days later in Moscow on March 4, 1852, at the age of 42. Gogol's unique blend of realism and the grotesque left an enormous legacy, influencing modernist, surrealist, and absurdist writers from Fyodor Dostoevsky and Franz Kafka to Mikhail Bulgakov.
Alexander                   | Pushkin               | pushkin.jpg           | Alexander Sergeyevich Pushkin (1799–1837) is Russia's greatest poet and the founder of modern Russian literature. He is credited with elevating the Russian language to a new level of sophistication and is often referred to as "the Russian Shakespeare." His innovative use of Russian vernacular established the standard for Russian literary language that endures to this day. Early Life and Education Born in Moscow into an aristocratic but financially strained noble family, Pushkin demonstrated exceptional literary talent from a young age. He received his education at the prestigious Imperial Lyceum at Tsarskoye Selo, where his poetic gifts were quickly recognized by established writers. Though a mediocre student academically, the intellectual atmosphere of the Lyceum fostered his liberal political views, which would later cause him trouble with the Tsarist regime. Literary Career and Exiles After graduating in 1817, Pushkin took a minor government post in St. Petersburg and became immersed in the liberal intellectual circles that were critical of Tsar Alexander I's autocratic rule. His political poems circulated widely, leading to his first exile to the Caucasus and later the family estate of Mikhaylovskoye from 1820 to 1826. During his exile, Pushkin produced some of his most influential works, moving from romanticism to a uniquely Russian realism. Tsar Nicholas I eventually permitted his return to Moscow, but placed him under strict police surveillance and personal censorship. Key works include:Eugene Onegin (1825–1832): A novel in verse and his most famous work, which depicts a cynical aristocrat unable to find meaning in life, popularizing the "superfluous man" archetype in Russian literature. Boris Godunov (1825): A historical drama influenced by Shakespeare, focusing on the historical Tsar's reign and guilt. The Captain's Daughter (1836): A historical novella set during the Pugachev Rebellion. The Queen of Spades (1834): A chilling short story about greed and supernatural obsession Pushkin struggled with gambling debts and financial instability throughout his life, exacerbated by his difficult relationship with the Tsar and the expenses required to maintain his aristocratic status. His wife, the beautiful Natalya Goncharova, was widely admired in court society. In January 1837, Pushkin fought a duel with Georges-Charles d'Anthès, a French émigré officer who was pursuing Natalya. Pushkin was mortally wounded in the abdomen and died two days later, on January 29, 1837, at the age of 37. Pushkin is revered as Russia's national poet and the founder of its modern literary tradition. His work fundamentally shaped the Russian literary landscape, influencing every major Russian writer who came after him, including Tolstoy, Dostoevsky, and Chekhov.
Mikhail                     | Lermontov             | lermontov.jpg         | Mikhail Lermontov (1814–1841) was a Russian Romantic writer, poet, and painter, often called "the poet of the Caucasus". He is considered the most important Russian poet after Alexander Pushkin's death and a foundational figure in the Russian psychological novel. Like Pushkin, Lermontov's life was tragically cut short in a duel at the age of 26. Early Life and Education Born in Moscow into an aristocratic but relatively poor military family, Lermontov lost his mother at age three and his father several years later. He was raised by his wealthy maternal grandmother on her estate, Tarkhany, where he received an excellent home education. Suffering from frail health as a child, he made several trips to the Caucasus mountains, whose dramatic landscapes and local culture made a lasting impression and heavily influenced his later writing. He attended Moscow University's preparatory school and later Moscow University, but left after altercations with professors. He then enrolled in the School of Cavalry Cadets in St. Petersburg, where he graduated as a junior officer in the Life-Guard Hussar regiment. Literary Career and Exiles Lermontov's literary career exploded into public consciousness with the poem "Death of the Poet" (1837), an elegy written after Pushkin's fatal duel. The poem explicitly blamed the "pillars" of high society for the poet's death, leading to Lermontov's arrest and first exile to the Caucasus, serving on the front line. During his two exiles in the Caucasus (the second followed another duel in 1840), he wrote some of his most famous works, inspired by the region. A Hero of Our Time (1840): His only novel, it is considered a masterpiece of Russian psychological realism. It details the adventures and cynical disposition of the "superfluous man" character, Grigory Pechorin, who epitomizes the emotional isolation and intellectual frustration of Lermontov's generation. Death and Legacy Lermontov's short life ended in tragedy in Pyatigorsk in July 1841, when he died in a duel with a former schoolmate, Nikolai Martynov, whom he had mercilessly teased. Lermontov reportedly fired into the air, but Martynov shot him through the heart. Though he published only one slim volume of poetry and one novel in his lifetime, Lermontov left a substantial body of work that significantly influenced later Russian masters like Tolstoy, Dostoevsky, and Chekhov, and his status as a major figure in Russian literature is second only to Pushkin.
